Food Name,Calories,Protein (g),Fat (g),Carbohydrates (g),Source
"Raspberries, raw",,1.01,0.188,12.9,USDA
"Blueberries, raw",,0.703,0.306,14.6,USDA
"Grapes, red, seedless, raw",,0.914,0.164,20.2,USDA
"Grapes, green, seedless, raw",,0.899,0.232,18.6,USDA
"Applesauce, unsweetened, with added vitamin C",,0.273,0.162,12.3,USDA
"Flour, amaranth",,13.2,6.24,68.8,USDA
"Flour, quinoa",,11.9,6.6,69.5,USDA
"Flour, sorghum",,8.27,3.59,77.4,USDA
"Flour, buckwheat",,8.88,2.48,75.0,USDA
"Flour, rye",,8.4,1.91,77.2,USDA
"Flour, barley",,8.72,2.45,77.4,USDA
"Flour, cassava",,0.918,0.494,87.3,USDA
"Buckwheat, whole grain",,11.1,3.04,71.1,USDA
"Millet, whole grain",,10.0,4.19,74.4,USDA
"Rice, brown, long grain, unenriched, raw",,7.25,3.31,76.7,USDA
"Rice, white, long grain, unenriched, raw",,7.04,1.03,80.3,USDA
"Beef, ground, 90% lean meat / 10% fat, raw",,18.2,12.8,0.0,USDA
"Beef, ground, 80% lean meat / 20% fat, raw",,17.5,19.4,0.0,USDA
"Pork, ground, raw",,17.8,17.5,0.0,USDA
"Chicken, ground, with additives, raw",,17.9,7.16,0.0,USDA
"Turkey, ground, 93% lean/ 7% fat, raw",,17.3,9.59,0.0,USDA
"Nuts, brazilnuts, raw",,15.0,57.4,21.6,USDA
"Nuts, cashew nuts, raw",,17.4,38.9,36.3,USDA
"Nuts, hazelnuts or filberts, raw",,13.5,53.5,26.5,USDA
"Peanuts, raw",,23.2,43.3,26.5,USDA
"Flour, chestnut",,5.29,4.64,80.5,USDA
"Nuts, macadamia nuts, raw",,7.79,64.9,24.1,USDA
"Nuts, pistachio nuts, raw",,20.5,45.0,27.7,USDA
"Seeds, pumpkin seeds (pepitas), raw",,29.9,40.0,18.7,USDA
"Seeds, sunflower seed, kernel, raw",,18.9,48.4,24.5,USDA
"Flour, coconut",,16.1,15.3,58.9,USDA
"Beans, cannellini, dry",,21.6,2.2,59.8,USDA
"Chickpeas, (garbanzo beans, bengal gram), dry",,21.3,6.27,60.4,USDA
"Lentils, dry",,23.6,1.92,62.2,USDA
"Blackeye pea, dry",,21.2,2.42,61.8,USDA
"Beans, black, canned, sodium added, drained and rinsed",,6.91,1.27,19.8,USDA
"Beans, navy, canned, sodium added, drained and rinsed",,6.57,1.4,20.0,USDA
"Beans, cannellini, canned, sodium added, drained and rinsed",,7.41,1.17,18.8,USDA
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",,7.02,3.1,20.3,USDA
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",,7.8,1.26,21.0,USDA
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",,7.31,1.3,21.4,USDA
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",,4.73,1.15,12.7,USDA
"Beans, pinto, canned, sodium added, drained and rinsed",,6.69,1.27,19.6,USDA
"Blackeye pea, canned, sodium added, drained and rinsed",,6.92,1.3,19.2,USDA
"Beans, great northern, canned, sodium added, drained and rinsed",,7.03,1.27,19.3,USDA
"Pork, loin, boneless, raw",,21.1,9.47,0.0,USDA
"Pork, loin, tenderloin, boneless, raw",,21.6,3.9,0.0,USDA
"Chicken, breast, boneless, skinless, raw",,22.5,1.93,0.0,USDA
"Chicken, thigh, boneless, skinless, raw",,18.6,7.92,0.0,USDA
"Beef, ribeye, steak, boneless, choice, raw",,18.7,20.0,0.0,USDA
"Beef, round, top round, boneless, choice, raw",,21.5,5.7,0.852,USDA
"Beef, chuck, roast, boneless, choice, raw",,18.4,17.8,0.0,USDA
"Beef, flank, steak, boneless, choice, raw",,20.1,9.4,0.0,USDA
"Yogurt, plain, nonfat",,4.23,0.087,8.08,USDA
"Cheese, monterey jack, solid",,22.6,32.6,1.9,USDA
"Cheese, pasteurized process cheese food or product, American, singles",,15.6,23.9,8.19,USDA
"Cheese, provolone, sliced",,23.5,28.1,2.45,USDA
"Cheese, oaxaca, solid",,22.1,22.1,2.4,USDA
"Cheese, queso fresco, solid",,18.9,23.4,2.96,USDA
"Cheese, cotija, solid",,23.8,27.2,2.72,USDA
"Fish, salmon, sockeye, wild caught, raw",,22.3,4.94,0.0,USDA
"Fish, salmon, Atlantic, farm raised, raw",,20.3,13.1,0.0,USDA
"Fish, tilapia, farm raised, raw",,19.0,2.48,0.0,USDA
"Crustaceans, shrimp, farm raised, raw",,15.6,0.801,0.485,USDA
"Fish, cod, Atlantic, wild caught, raw",,16.1,0.668,0.0,USDA
"Fish, catfish, farm raised, raw",,16.5,7.31,0.0,USDA
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",,18.6,0.808,0.0,USDA
"Squash, summer, green, zucchini, includes skin, raw",,0.984,0.205,3.27,USDA
"Squash, summer, yellow, includes skin, raw",,0.891,0.135,4.39,USDA
"Squash, winter, butternut, raw",,1.15,0.168,10.5,USDA
"Squash, winter, acorn, raw",,1.25,0.182,10.5,USDA
"Cabbage, bok choy, raw",,1.02,0.234,3.51,USDA
"Cauliflower, raw",,1.64,0.238,4.72,USDA
"Collards, raw",,2.97,0.77,7.02,USDA
"Brussels sprouts, raw",,3.98,0.565,9.62,USDA
"Beets, raw",,1.69,0.302,8.79,USDA
"Eggplant, raw",,0.852,0.12,5.4,USDA
"Tomatoes, whole, canned, solids and liquids, with salt added",,0.868,0.206,4.29,USDA
"Tomato, sauce, canned, with salt added",,1.35,0.382,6.33,USDA
"Tomato, paste, canned, without salt added",,4.23,0.732,20.2,USDA
"Tomatoes, crushed, canned",,1.44,0.398,7.14,USDA
"Tomato, puree, canned",,1.58,0.265,8.04,USDA
"Apricot, with skin, raw",,0.961,0.405,10.2,USDA
"Melons, honeydew, raw",,0.531,0.216,8.15,USDA
"Plantains, ripe, raw",,1.16,0.893,31.0,USDA
"Plantains, underripe, raw",,1.23,0.685,33.6,USDA
"Chia seeds, dry, raw",,17.0,32.9,38.3,USDA
"Bulgur, dry, raw",,11.8,2.42,75.9,USDA
"Wild rice, dry, raw",,12.8,1.7,75.7,USDA
"Arugula, baby, raw",,1.65,0.325,5.37,USDA
"Asparagus, green, raw",,1.44,0.216,5.1,USDA
"Avocado, Hass, peeled, raw",,1.81,20.3,8.32,USDA
"Rice, black, unenriched, raw",,7.57,3.44,77.2,USDA
"Corn, sweet, yellow and white kernels,  fresh, raw",,2.79,1.63,14.7,USDA
"Einkorn, grain, dry, raw",,15.1,3.81,68.7,USDA
"Farro, pearled, dry, raw",,12.6,3.1,72.1,USDA
"Fonio, grain, dry, raw",,7.17,1.69,81.3,USDA
"Khorasan, grain, dry, raw",,14.8,2.8,71.8,USDA
"Kiwifruit (kiwi), green, peeled, raw",,1.01,0.64,13.8,USDA
"Mandarin, seedless, peeled, raw",,1.04,0.458,13.4,USDA
"Mango, Tommy Atkins, peeled, raw",,0.562,0.572,15.3,USDA
"Mango, Ataulfo, peeled, raw",,0.688,0.681,17.4,USDA
"Corn flour, masa harina, white or yellow, dry, raw",,7.56,4.34,76.7,USDA
"Pear, Anjou, green, with skin, raw",,0.312,0.371,14.8,USDA
"Plum, black, with skin, raw",,0.578,0.282,13.5,USDA
"Rice, red, unenriched, dry, raw",,8.56,3.44,76.2,USDA
"Sorghum bran, white, unenriched, dry, raw",,11.2,9.26,68.7,USDA
"Sorghum flour, white, pearled, unenriched, dry, raw",,10.2,3.24,73.5,USDA
"Sorghum grain, white, pearled, unenriched, dry, raw",,10.2,3.26,74.9,USDA
"Sorghum, whole grain, white, dry, raw",,10.1,4.22,73.6,USDA
"Plantains, overripe, raw",,1.17,0.99,29.2,USDA
"Chicken, drumstick, meat and skin, raw",,18.4,5.94,-0.475,USDA
"Chicken, thigh, meat and skin, raw",,17.1,13.4,-0.173,USDA
"Chicken, wing, meat and skin, raw",,18.4,10.6,-0.459,USDA
"Chicken, breast, meat and skin, raw",,21.4,4.78,-0.428,USDA
"Lamb, ground, raw",,17.5,18.6,-0.251,USDA
"Bison, ground, raw",,19.9,8.88,-0.15,USDA
"Beef, short loin (NY strip steak), raw",,21.3,11.5,0.221,USDA
"Beef, tenderloin steak, raw",,21.1,6.46,0.18,USDA
"Beef, top sirloin steak, raw",,22.0,5.71,0.218,USDA
"Pork, chop, center cut, raw",,22.8,5.48,-0.562,USDA
"Pork, belly, with skin, raw",,15.2,35.8,-0.705,USDA
"Pawpaw, peeled, seeded, raw",,1.15,,,USDA
"Squash, pie pumpkin, peeled, seeded, raw",,0.854,,,USDA
"Squash, spaghetti, peeled, seeded, raw",,0.792,,,USDA
"Rutabaga, peeled, raw",,0.888,,,USDA
"Blackberries, raw",,1.53,,,USDA
"Tomatillos, dehusked, raw",,1.06,,,USDA
"Cabbage, napa, leaf, destemmed, raw",,1.06,,,USDA
"Leeks, bulb and greens, root removed, raw",,1.47,,,USDA
"Green onion, (scallion), bulb and greens, root removed, raw",,0.669,,,USDA
"Shallots, bulb, peeled, root removed, raw",,1.38,,,USDA
"Juice, prune, shelf-stable",,0.423,,,USDA
"Juice, pomegranate, from concentrate, shelf-stable",,0.0,,,USDA
"Juice, tart cherry, from concentrate, shelf-stable",,0.147,,,USDA
Finger Millet (Ragi),336.0,7.3,1.3,72.0,Indian
Pearl Millet (Bajra),361.0,11.6,5.0,67.5,Indian
Sorghum (Jowar),349.0,10.4,3.1,72.6,Indian
Foxtail Millet,331.0,12.3,4.3,60.9,Indian
Barnyard Millet,300.0,11.2,3.6,65.5,Indian
Barley,352.0,11.5,1.2,78.0,Indian
Little Millet,207.0,7.7,4.7,67.0,Indian
Kodo Millet,309.0,8.3,1.4,65.9,Indian
Proso Millet,356.0,12.5,1.1,70.4,Indian
Browntop Millet,333.0,11.0,4.5,65.0,Indian
